長さ,市外局番,代表都市,覚え方,あいす,とるめ,補足
3,011,札幌,いい恋人は札幌市,10/21,,
4,011x,札幌,さっさと別れてきた広島,10/21,,
3,012,千歳,いつ食べるもの？千歳飴,11/21,,
4,0123,千歳,1・2・3で飛び立て！新千歳空港,11/21,,
4,0124,芦別,西別芦別,11/21,,
4,0125,滝川,ニコニコタッキーカワイイネ,11/21,,
4,0126,岩見沢,岩風呂岩見沢,11/21,,
3,013,函館,函館の遺産は縄文遺跡群,11/21,,
4,0133,石狩,さざれ石借りてくよ,11/21,,
4,0134,小樽,刺身の小樽,11/21,,
4,0135,余市,いざこざ起こるよ余り1,11/21,,
4,0136,ニセコ,さむいニセコのスキー場,11/21,,
4,0137,森,みんなの森,11/21,,
4,0138,函館,世界遺産はまだだよ五稜郭,11/21,,
4,0139,松前,サンキューを待つ前に,11/21,,
3,014,室蘭,美味しい～！室蘭カレーラーメン,10/21,,
4,0142,伊達,異質な伊達者,11/21,,
4,0143,室蘭,カレーラーメンの美味しさ,11/21,,
4,0144,苫小牧,獅子舞苫小牧,11/21,,
4,0145,日高,横に日高昆布,11/26,,
4,0146,浦河,白い襟の裏側は,11/21,,
3,015,網走,試されに行こう道東へ,11/21,,
4,0152,網走,ゴツい刑務所網走監獄,11/21,,
4,0153,根室,根菜根室,11/21,,
4,0154,釧路,こしろくしろ,11/21,,
4,0155,帯広,ゴーゴー帯広ばんえい競馬,11/21,,
4,0156,本別,コロコロ本(コミック)別冊,11/25,,
4,0157,北見,小麦の粉は北見産,11/25,,
4,0158,紋別,ゴーヤの紋章,11/25,,
3,016,稚内,いろいろわっかんない,11/25,,
4,0162,稚内,唯一無二もわっかんない,11/25,,
4,0163,天塩,霧散無塩,11/25,,
4,0164,留萌,虫に萌え,11/25,,
4,0165,名寄,なよろこび,11/25,,
4,0166,旭川,ろくろ首みたいキリンさん,11/27,,
4,0167,富良野,いろんな種類のラベンダー,11/25,,
3,017,青森,りんご青いな青森県,10/21,,
4,0172,弘前,夏前,11/27,,
4,0173,五所川原,波に乗れ揚げたい焼き,11/27,,
4,0174,今別,梨と今別れよう,11/27,,
4,0175,むつ,なごむつ,11/27,,
4,0176,十和田,南無は永遠だ,11/27,,
4,0177,青森,旧暦の7月7日はねぶた祭,11/27,,
4,0178,八戸,八戸,11/27,,
4,0179,三戸,泣くほどうまいニンニクサンド,11/27,,
3,018,秋田,18歳の秋田美人,10/21,,
4,0182,横手,パンツ横縞,11/27,,
4,0183,湯沢,婆さんの湯,11/27,,
4,0184,由利本荘,いやよユリに過保護,11/27,,
4,0185,男鹿,箱入りナマハゲ,11/27,,
4,0186,大館,ハムもおだてりゃ木に登る,11/27,,
4,0187,仙北,戦国の華、大戦,11/27,,
4,0188,秋田,はっぱの秋だ,11/27,,
3,019,岩手,岩で行くで！,11/28,,
4,0191,一関,一関,11/27,,
4,0192,大船渡,国々を渡る大船,11/27,,
4,0193,釜石,草の釜揚げ,11/27,,
4,0194,久慈,久慈,11/27,,
4,0195,二戸,救護だニトログリセリン,11/28,,
4,0196,盛岡,黒い盛岡,11/27,,
4,0197,北上,苦難の北上,11/27,,
4,0198,花巻,くっぱまき,11/27,,
3,022,宮城,鬼ずんだもちの宮城県,11/28,,
4,0220,登米,二重に留め具で挟む,11/28,,
4,0222,仙台,ずずずんだ,11/28,,
4,0223,岩沼,兄さん何も言わぬま,11/28,,
4,0224,白石,白石,11/28,,
4,0225,石巻,ニコイチの巻,11/28,,
4,0226,気仙沼,風呂の換気扇,11/28,,
4,0227,仙台,通なずんだ,11/28,,
4,0228,栗原,つやつやの栗だって,11/28,,
4,0229,大崎,古い肉の多さ,11/28,,
3,023,山形,鬼さくらんぼの山形県,12/03,,
4,0233,新庄,新庄三球三振じょう,12/03,,
4,0234,酒田,刺身とお酒,12/03,,
4,0235,鶴岡,亀から見たら 鶴はザコ,12/03,,
4,0236,山形,兄さん向こうの山が回転,12/03,,
4,0237,村山,みんなの村,12/03,,
4,0238,米沢,米沢牛さんぽ,12/03,,
3,024,福島,ふーしま県,11/28,,
4,0240,大熊,夜空のおおぐま座,12/03,,
4,0241,喜多方,お寿司行きたかった,12/03,,
4,0242,会津若松,あいつ若ぇのにしにてぇのか,12/03,,
4,0243,二本松,４・３・二本松,12/03,,
4,0244,相馬,獅子馬,12/03,,
4,0245,福島,横縞福島,12/03,,
4,0246,いわき,磐城城,12/03,,
4,0247,田村,推しな田村,12/03,,
4,0248,白河,シワカワ,12/03,,
4,0249,郡山,強く肯定,12/03,,
3,025,新潟,にいごた県,11/28,,
4,0250,五泉,五千,12/03,,
4,0252,新潟,新潟,12/03,,
4,0253,新潟,-,12/03,,
4,0254,新発田,新発田,12/03,,
4,0255,上越,ここを越えていけ,12/03,,
4,0256,三条,コンロ付き三畳,12/03,,
4,0257,柏崎,お菓子コーナー,12/03,,
4,0258,長岡,今夜は長いよ,12/03,,
4,0259,佐渡,時刻はトキ,12/03,,
3,026,長野,お風呂が長いの,12/05,,
4,0260,阿南,群れたアナコンダ,12/05,,
4,0261,大町,ロイヤルマッチ,12/05,,
4,0262,長野,お風呂に蛾なの！,12/05,,
4,0263,松本,無惨な松ぼっくり,12/05,,
4,0264,木曽,虫の木そっと,12/05,,
4,0265,飯田,むごいいだ,12/05,,
4,0266,諏訪,スワローク,12/05,,
4,0267,小諸,胸毛の子供,12/06,,
4,0268,上田,牢屋は上だ,12/05,,
